Program3(path)
NTC,NDF1,NDF2,NDF3,NDF4,NDF5,Average NDF
144,6,8,8,8,6,7.2
115,6,8,8,8,6,7.2
86,6,8,8,8,6,7.2
57,6,8,8,8,6,7.2
28,6,8,8,8,6,7.2
