Program1(multiple)
NTC,NDF1,NDF2,NDF3,NDF4,NDF5,Average NDF
16,10,10,10,10,10,10.0
12,10,9,9,10,10,9.6
8,10,5,8,8,9,8.0
4,8,3,8,6,8,6.6
1,3,1,3,3,4,2.8
