Program4(multiple)
NTC,NDF1,NDF2,NDF3,NDF4,NDF5,Average NDF
16,10,10,10,10,10,10.0
12,10,10,10,10,9,9.8
8,8,9,10,9,9,9.0
4,5,5,8,6,7,6.2
1,3,3,1,3,3,2.6
