Program4(path)
NTC,NDF1,NDF2,NDF3,NDF4,NDF5,Average NDF
27,6,8,7,6,3,6.0
21,6,8,7,6,3,6.0
15,6,8,7,6,3,6.0
9,6,8,7,6,3,6.0
3,3,5,4,6,2,4.0
