Program2(multiple)
NTC,NDF1,NDF2,NDF3,NDF4,NDF5,Average NDF
16,10,10,10,10,10,10.0
12,8,7,10,8,10,8.6
8,8,7,9,6,9,7.8
4,3,4,8,4,9,5.6
1,1,2,3,2,4,2.4
