Program2(path)
NTC,NDF1,NDF2,NDF3,NDF4,NDF5,Average NDF
144,6,5,6,8,5,6.0
115,6,5,6,8,5,6.0
86,6,5,6,8,5,6.0
57,6,5,6,8,5,6.0
28,6,5,6,8,5,6.0
